date,category,product_name,price_hcm,price_hn,market_price
2026-04-29,thit,Thị bò xay,210000,210000,210000
2026-04-29,thit,Bắp bò loại 1,290000,290000,290000
2026-04-29,thit,Thịt gà,87500,87500,87500
2026-04-29,thit,Chân gà,105000,105000,105000
2026-04-29,thit,Đùi gà công nghiệp,77500,77500,77500
2026-04-29,thit,Gà ta nguyên con,120000,120000,120000
2026-04-29,thuy_hai_san,Cá tra,40500,41000,40000
2026-04-29,thuy_hai_san,Lươn,180000,0,165000
2026-04-29,thuy_hai_san,Cá lóc,41500,43500,42000
2026-04-29,thuy_hai_san,Cá diêu hồng,48500,52500,50000
2026-04-29,thuy_hai_san,Cá Rô phi,29000,30000,28000
2026-04-29,thuy_hai_san,Cá bống,180000,180000,180000
2026-04-29,thuy_hai_san,Cá kèo,125000,125000,125000
2026-04-29,thuy_hai_san,Cá thát lát,87500,87500,87500
2026-04-29,thuy_hai_san,Cá mú,525000,525000,525000
2026-04-29,thuy_hai_san,Cá nục,90000,90000,90000
2026-04-29,thuy_hai_san,Cá chim,162500,162500,162500
2026-04-29,thuy_hai_san,Tôm,135000,135000,135000
2026-04-29,thuy_hai_san,Mực,170000,170000,170000
2026-04-29,thuy_hai_san,Nghêu,27500,27500,27500
2026-04-29,thuy_hai_san,Tôm càng xanh,550000,550000,550000
2026-04-29,thuy_hai_san,Tôm thẻ,125000,125000,125000
2026-04-29,thuy_hai_san,Tôm hùm,1025000,1025000,1025000
